"State","Abbrev","Sector","Sector_Name","Employment","Total_Wages_M","Avg_Wage","Gambling_Employment_Actual","Gambling_Wages_M_Actual","Gambling_Avg_Wage_Actual","Industry_Output_M","VA_M","Direct_VA_Coef","Direct_Wage_Coef","Type_I_Output","Type_II_Output","Type_I_VA","Type_II_VA","Type_I_Wage","Type_II_Wage","Emp_Coef","Indirect_Emp_Coef","Induced_Emp_Coef"
"Hawaii","HI","7132","Gambling Industries",8499,316.397531,37227.618661019,NA,NA,NA,1043.08,547.8772693216,0.52524952,0.22920282,1.295477,2.044043,0.66669368,1.11918968,0.28824418,0.46517218,13.806212492382,8.5385,6.9126
"Idaho","ID","7132","Gambling Industries",13035,353.360589,27108.5990794016,56,2.726451,48686.625,833.14,437.6063850928,0.52524952,0.22920282,1.289835,1.969514,0.66114968,1.06392568,0.28596418,0.44062418,26.5104678432419,11.7656,10.0375
"Illinois","IL","7132","Gambling Industries",66025,1973.547278,29890.9091707686,12012,581.195124,48384.5424575425,8584.75,4509.13581682,0.52524952,0.22920282,1.315042,2.047683,0.67558168,1.10141368,0.29227218,0.47467218,13.031820816043,7.5108,7.8147
"Indiana","IN","7132","Gambling Industries",29003,757.162047,26106.3354480571,11256,508.123619,45142.4679282161,3818.36,2005.5917571872,0.52524952,0.22920282,1.285376,1.832195,0.65947768,0.98023768,0.28482418,0.41182018,12.8703510609765,9.8385,9.488
"Iowa","IA","7132","Gambling Industries",15906,325.806739,20483.2603420093,7123,317.62793,44591.8756142075,1335.88,701.6703287776,0.52524952,0.22920282,1.297934,1.847301,0.66510968,0.99000568,0.28778818,0.41972418,20.1752011156894,9.7238,9.0964
"Kansas","KS","7132","Gambling Industries",14251,337.557821,23686.6059223914,1703,74.649453,43834.0886670581,1213.71,637.5005949192,0.52524952,0.22920282,1.290199,1.963326,0.66282168,1.05662168,0.28695218,0.45483618,19.895495158883,9.4317,9.4904
"Kentucky","KY","7132","Gambling Industries",16315,363.762437,22296.195954643,0,0,NA,881.43,462.9706844136,0.52524952,0.22920282,1.286741,1.935935,0.65991768,1.03972568,0.28497618,0.43872418,31.3634329102101,10.1557,9.5625
"Louisiana","LA","7132","Gambling Industries",19387,513.735771,26498.9823593129,13461,526.725426,39129.7396924448,1711.87,899.1588958024,0.52524952,0.22920282,1.287378,1.937209,0.66158968,1.04553368,0.28505218,0.43766018,19.189522653393,8.9483,8.8839
"Maine","ME","7132","Gambling Industries",7333,242.445496,33062.2522841947,24,0.918434,38268.0833333333,647.44,340.0675492288,0.52524952,0.22920282,1.283374,2.104467,0.66009368,1.15051768,0.28695218,0.48242418,19.1913930476472,10.2271,8.7927
"Maryland","MD","7132","Gambling Industries",31914,886.326922,27772.3545152598,7772,408.706808,52587.0828615543,3709.92,1948.6336992384,0.52524952,0.22920282,1.275002,1.967239,0.65710168,1.07316568,0.28588818,0.46061218,14.5760899090995,8.7497,7.5593
"Massachusetts","MA","7132","Gambling Industries",42532,1484.380921,34900.3320088404,0,0,NA,4968.19,2609.5394127688,0.52524952,0.22920282,1.286468,1.873964,0.66326168,1.01059768,0.28854818,0.43697618,14.5058088851919,7.9163,7.5292
"Michigan","MI","7132","Gambling Industries",39699,1009.517271,25429.2871608857,5121,286.76845,55998.5256785784,3145.85,1652.356202492,0.52524952,0.22920282,1.310492,2.080989,0.67232568,1.12341368,0.29090418,0.47262018,21.3828652361482,9.3632,8.8444
"Minnesota","MN","7132","Gambling Industries",31642,759.998581,24018.6644649516,0,0,NA,2532.81,1330.3572367512,0.52524952,0.22920282,1.315497,2.019746,0.67399768,1.08504568,0.29189218,0.46517218,21.168284143567,8.6843,8.6387
"Mississippi","MS","7132","Gambling Industries",8475,174.648357,20607.4757522124,15063,572.525584,38008.7355772423,688.61,361.6920719672,0.52524952,0.22920282,1.277732,1.978796,0.65630968,1.07518968,0.28368418,0.44997218,20.8540650586447,11.3436,10.2096
"Missouri","MO","7132","Gambling Industries",30514,748.542699,24531.1233859868,6133,271.248382,44227.6833523561,2337.95,1228.007115284,0.52524952,0.22920282,1.303394,2.060241,0.67003768,1.11575768,0.29037218,0.47968818,22.1150673005012,9.4793,9.5991
"Montana","MT","7132","Gambling Industries",10588,249.445521,23559.2671892709,3480,83.139099,23890.5456896552,828.57,435.2059947864,0.52524952,0.22920282,1.28483,2.149239,0.66070968,1.17427768,0.28429218,0.48751618,21.6525510054727,11.6147,10.6587
"Nebraska","NE","7132","Gambling Industries",11479,240.146036,20920.4665911665,0,0,NA,676.41,355.2840278232,0.52524952,0.22920282,1.30758,1.854854,0.67047768,0.99246968,0.29014418,0.42314418,28.7553315092564,9.5658,9.4169
"Nevada","NV","7132","Gambling Industries",28700,949.863768,33096.2985365854,153168,7721.839064,50414.1796197639,4338.21,2278.6427201592,0.52524952,0.22920282,1.275275,1.89726,0.65886168,1.03699768,0.28520418,0.43325218,11.2097433151852,9.3137,8.0957
"New Hampshire","NH","7132","Gambling Industries",11599,332.369996,28655.0561255281,759,31.486713,41484.4703557312,1880.12,987.5321275424,0.52524952,0.22920282,1.258986,2.01647,0.64944568,1.10475768,0.28262018,0.47558418,10.4534421838917,9.1733,8.3179
"New Jersey","NJ","7132","Gambling Industries",56409,1833.544606,32504.4692513606,23187,1215.786075,52433.9532927934,5174.91,2718.1189935432,0.52524952,0.22920282,1.278824,1.984165,0.65868568,1.08214168,0.28581218,0.46061218,18.4701295709489,7.8841,7.4555
"New Mexico","NM","7132","Gambling Industries",8061,224.781438,27885.0561965017,958,34.311162,35815.4091858038,730.97,383.9416416344,0.52524952,0.22920282,1.260897,1.848666,0.64654168,0.99845368,0.27980818,0.41835618,18.6858866609514,11.275,9.9938
"New York","NY","7132","Gambling Industries",87697,3062.299554,34919.0913486208,4847,327.49567,67566.6742314834,9067.83,4762.8733549416,0.52524952,0.22920282,1.295841,1.870324,0.66598968,1.00390968,0.28968818,0.43522818,16.3872360618241,6.9594,7.1894
"North Carolina","NC","7132","Gambling Industries",57334,1404.184933,24491.3128858967,644,37.831904,58745.1925465839,3195.16,1678.2562563232,0.52524952,0.22920282,1.290836,1.981071,0.66070968,1.06832568,0.28756018,0.46046018,30.404927619214,9.8759,9.455
"North Dakota","ND","7132","Gambling Industries",5148,102.775982,19964.2544677545,675,15.026835,22261.9777777778,249.76,131.1863201152,0.52524952,0.22920282,1.258622,1.726362,0.64390168,0.91934168,0.27790818,0.39434018,34.9252879109392,11.0067,9.9827
"Ohio","OH","7132","Gambling Industries",61539,1556.584519,25294.2771088253,6590,309.152059,46912.3003034901,7034.36,3694.7942135072,0.52524952,0.22920282,1.307307,1.921193,0.67030168,1.02846168,0.29052418,0.43880018,14.823480506648,8.7837,8.7274
"Oklahoma","OK","7132","Gambling Industries",14437,336.784234,23327.854401884,0,0,NA,1178.63,619.0748417576,0.52524952,0.22920282,1.289562,1.946036,0.66202968,1.04949368,0.28573618,0.44305618,20.7550511397312,10.2678,10.0342
"Oregon","OR","7132","Gambling Industries",19791,526.238669,26589.7968268405,162,8.027997,49555.537037037,1699.84,892.8401440768,0.52524952,0.22920282,1.296387,1.909727,0.66651768,1.03453368,0.28961218,0.43370818,19.7280443950165,9.296,8.4886
"Pennsylvania","PA","7132","Gambling Industries",71803,1922.753044,26778.1714413047,13638,716.498141,52536.8925795571,6122.94,3216.0712959888,0.52524952,0.22920282,1.297479,2.170169,0.66704568,1.17973368,0.28847218,0.51343218,19.8704145892861,8.7168,8.9056
"Rhode Island","RI","7132","Gambling Industries",5844,178.840219,30602.3646475017,27,3.166559,117279.962962963,519.68,272.9616705536,0.52524952,0.22920282,1.261716,1.905541,0.65076568,1.03734968,0.28368418,0.44427218,19.0545434069604,9.8769,8.7879
"South Carolina","SC","7132","Gambling Industries",28341,693.560327,24471.9779471437,108,7.934831,73470.6574074074,1686.79,885.9856378408,0.52524952,0.22920282,1.255528,2.001546,0.64566168,1.09701368,0.28034018,0.46350018,28.4694118309538,11.3516,9.717
"South Dakota","SD","7132","Gambling Industries",5552,121.44257,21873.6617435159,2699,85.440691,31656.4249722119,352.44,185.1189408288,0.52524952,0.22920282,1.267995,1.819546,0.64979768,0.97434168,0.28277218,0.41812818,26.6924604142466,11.8079,10.2008
"Tennessee","TN","7132","Gambling Industries",29204,793.5426,27172.3941925764,0,0,NA,2139.03,1123.5244807656,0.52524952,0.22920282,1.278096,1.902993,0.65674968,1.02626168,0.28566018,0.43864818,23.1339507460386,9.0828,8.4901
"Texas","TX","7132","Gambling Industries",117062,3323.0146,28386.7916146999,4092,143.230295,35002.515884653,9001.07,4727.8076969864,0.52524952,0.22920282,1.334334,2.055964,0.68235768,1.09736568,0.29394418,0.46266418,22.0366788747372,8.7834,9.0204
"Utah","UT","7132","Gambling Industries",22599,551.644135,24410.1126156025,NA,NA,NA,1467.53,770.8194280856,0.52524952,0.22920282,1.296387,1.851487,0.66748568,0.99581368,0.28854818,0.41881218,26.0931539439175,9.856,9.5741
"Vermont","VT","7132","Gambling Industries",3121,86.93353,27854.3832105095,28,2.716515,97018.3928571429,285.17,149.7854056184,0.52524952,0.22920282,1.274183,2.086358,0.65710168,1.14805368,0.28414018,0.48044818,18.5444635846337,9.5861,8.2916
"Virginia","VA","7132","Gambling Industries",50889,1229.220271,24154.9307512429,0,0,NA,2809.51,1475.6937789352,0.52524952,0.22920282,1.305032,2.028118,0.67030168,1.09947768,0.29174018,0.47300018,30.6914690883093,8.2819,8.2948
"Washington","WA","7132","Gambling Industries",38601,1123.806577,29113.405792596,3838,200.971569,52363.6188118812,4084.73,2145.5024718296,0.52524952,0.22920282,1.310128,1.912275,0.67091768,1.02687768,0.29044818,0.43583618,16.012514761031,8.0994,6.6812
"West Virginia","WV","7132","Gambling Industries",7735,158.882483,20540.7217840983,3584,152.466798,42540.9592633929,508.32,266.9948360064,0.52524952,0.22920282,1.253071,1.902174,0.64434168,1.03506168,0.27828818,0.43416418,25.7838320132715,10.3745,9.5873
"Wisconsin","WI","7132","Gambling Industries",32435,671.493794,20702.7530137197,95,6.456034,67958.2526315789,2031.43,1067.0076324136,0.52524952,0.22920282,1.301847,1.887978,0.66792568,1.01482168,0.28968818,0.43104818,27.0543050706223,9.6368,8.8549
"Wyoming","WY","7132","Gambling Industries",3158,85.56068,27093.3122229259,356,11.789292,33115.9887640449,349.05,183.338344956,0.52524952,0.22920282,1.259168,1.763581,0.64935768,0.95726968,0.27912418,0.39593618,15.3302354762422,12.4852,8.8696
