"state_name","io_sector","employment","total_wages","avg_wage"
"Alabama","525",170,20288872,119346.305882353
"Alabama","532RL",8143,494689865,60750.3211347169
"Alabama","55",17188,1938494901,112781.876949034
"Alabama","561",119197,4763786019,39965.6536573907
"Alabama","562",6585,448454600,68102.4449506454
"Alabama","61",20820,947044080,45487.227665706
"Alabama","621",106964,7936457666,74197.4651845481
"Alabama","622",45451,2880688632,63380.093551297
"Alabama","623",41568,1511820420,36369.8137990762
"Alabama","624",33227,940053587,28291.8586390586
"Alabama","711AS",4190,162939902,38887.8047732697
"Alabama","713",18123,396014110,21851.4655410252
"Alabama","721",17213,496109903,28821.8150816244
"Alabama","722",166132,3677591963,22136.5658813474
"Alabama","81",48366,2381130625,49231.4978497291
"Alabama","GSLG",24,1547926,64496.9166666667
"Alabama","HS",18240,1075449050,58961.0224780702
"Alaska","111CA",1173,43674491,37233.1551577153
"Alaska","113FF",378,34996618,92583.6455026455
"Alaska","211",2856,750645324,262830.995798319
"Alaska","212",3701,453437028,122517.43528776
"Alaska","213",4948,651127191,131594.015966047
"Alaska","22",2516,271283231,107823.223767886
"Alaska","23",17128,1599250184,93370.5151798225
"Alaska","311FT",9994,679937706,68034.5913548129
"Alaska","313TT",59,1701292,28835.4576271186
"Alaska","315AL",32,1128944,35279.5
"Alaska","321",220,12048077,54763.9863636364
"Alaska","322",0,0,NA
"Alaska","323",260,11329483,43574.9346153846
"Alaska","324",316,53926757,170654.294303797
"Alaska","325",80,3286116,41076.45
"Alaska","326",0,0,NA
"Alaska","327",242,17386389,71844.5826446281
"Alaska","331",19,3070663,161613.842105263
"Alaska","332",424,28289569,66720.6816037736
"Alaska","333",84,5649032,67250.380952381
"Alaska","334",139,15389581,110716.410071942
"Alaska","335",0,0,NA
"Alaska","337",0,0,NA
"Alaska","339",166,8663587,52190.2831325301
"Alaska","42",6391,454139776,71059.2670943514
"Alaska","441",3977,252322697,63445.4857933115
"Alaska","445",5125,172678745,33693.4136585366
"Alaska","452",10370,374391931,36103.368466731
"Alaska","481",6361,572334044,89975.4824713095
"Alaska","483",1231,148121600,120326.238830219
"Alaska","484",2838,209247837,73730.7389006343
"Alaska","485",1154,54312309,47064.3925476603
"Alaska","486",0,0,NA
"Alaska","487OS",8292,710390273,85671.7647129764
"Alaska","493",349,23618958,67676.0974212034
"Alaska","4A0",15749,620505937,39399.7039177091
"Alaska","512",444,13535904,30486.2702702703
"Alaska","513",3046,286901571,94189.6162179908
"Alaska","514",151,14900369,98677.940397351
"Alaska","521CI",4097,303910815,74178.8662435929
"Alaska","523",0,0,NA
"Alaska","524",1513,115925929,76619.9134170522
"Alaska","525",0,0,NA
"Alaska","532RL",1392,89468418,64273.2887931034
"Alaska","55",2961,323668744,109310.619385343
"Alaska","561",10222,562710894,55049.0015652514
"Alaska","562",1482,121000590,81646.8218623482
"Alaska","61",2656,120345033,45310.6298945783
"Alaska","621",22239,1673886043,75268.0445613562
"Alaska","622",13911,1249862875,89847.0904320322
"Alaska","623",4088,174568167,42702.5848825832
"Alaska","624",8000,316438586,39554.82325
"Alaska","711AS",1155,41878649,36258.5705627706
"Alaska","713",3972,113799944,28650.5397784491
"Alaska","721",8640,354852490,41070.8900462963
"Alaska","722",21950,645189672,29393.6069248292
"Alaska","81",10428,542660363,52038.776658995
"Alaska","GSLG",197,13638246,69229.6751269036
"Alaska","HS",2959,159930796,54048.9340993579
"Arizona","111CA",12198,606079106,49686.7606164945
"Arizona","113FF",9692,410245149,42328.2242055303
"Arizona","211",49,4728267,96495.2448979592
"Arizona","212",12935,1262965176,97639.3642056436
"Arizona","213",729,83150208,114060.641975309
"Arizona","22",12572,1522601564,121110.528475978
"Arizona","23",213094,15992844899,75050.6579209175
"Arizona","311FT",22167,1309119380,59057.1290657283
"Arizona","313TT",1089,63741163,58531.8301193756
"Arizona","315AL",657,31027288,47225.704718417
"Arizona","321",4508,281659222,62479.8629103815
"Arizona","322",2797,192287004,68747.5881301394
"Arizona","323",5238,304700593,58171.170866743
"Arizona","324",274,22978012,83861.3576642336
"Arizona","325",9510,698116549,73408.6802313354
"Arizona","326",5866,347216662,59191.3845891579
"Arizona","327",8277,612657866,74019.3144859249
"Arizona","331",4198,327883455,78104.6819914245
"Arizona","332",22317,1854646703,83104.6602589954
"Arizona","333",8902,893111930,100327.109638284
"Arizona","334",34832,4776771556,137137.447060175
"Arizona","335",3874,318345155,82174.7947857512
"Arizona","337",5634,289110685,51315.3505502307
"Arizona","339",13967,1087784799,77882.4943796091
"Arizona","42",116772,11812045126,101154.77277087
"Arizona","441",52525,3751866024,71430.1004093289
"Arizona","445",61797,2090376819,33826.5096849362
"Arizona","452",77037,3065988498,39798.9082908213
"Arizona","481",14641,1285132626,87776.2875486647
"Arizona","482",3,141370,47123.3333333333
"Arizona","483",4,469518,117379.5
"Arizona","484",25514,1601235294,62759.084972956
"Arizona","485",9188,473758755,51562.7726382238
"Arizona","486",532,61768378,116105.973684211
"Arizona","487OS",36944,2038339641,55173.7668092248
"Arizona","493",51737,2326377475,44965.4497748227
"Arizona","4A0",153295,6527268926,42579.7901170945
"Arizona","512",5623,154560646,27487.2214120576
"Arizona","513",12145,1185027529,97573.283573487
"Arizona","514",14394,1859521922,129187.294845074
"Arizona","521CI",87369,8397015859,96109.7856104568
"Arizona","523",22001,2896439441,131650.354120267
"Arizona","524",61379,5480022262,89281.7129963017
"Arizona","525",484,30296162,62595.3760330579
"Arizona","532RL",14912,1013867738,67990.0575375536
"Arizona","55",47679,5272158087,110576.10451142
"Arizona","561",240077,13010656168,54193.6802275936
"Arizona","562",8945,597708788,66820.4346562325
"Arizona","61",69720,3598274835,51610.3676850258
"Arizona","621",203823,15108161224,74123.9272506047
"Arizona","622",103833,8444833243,81330.9183303959
"Arizona","623",59846,2704380514,45188.9936503693
"Arizona","624",71665,2570590840,35869.5435707807
"Arizona","711AS",15288,1607519870,105149.128074307
"Arizona","713",33078,949099052,28692.758086946
"Arizona","721",44485,1824381578,41011.1628189277
"Arizona","722",261181,7332664678,28075.031024462
"Arizona","81",84911,4315086044,50818.9285722698
"Arizona","GSLG",8627,680270125,78853.6136548047
"Arizona","HS",43974,3237877368,73631.6316004912
"Arkansas","111CA",7318,357258773,48819.1818802952
"Arkansas","113FF",4869,259685335,53334.4290408708
"Arkansas","211",396,34908680,88153.2323232323
"Arkansas","212",1821,129148161,70921.5601317957
"Arkansas","213",1259,91323631,72536.6409849087
"Arkansas","22",8124,854542238,105187.375430822
"Arkansas","23",63343,3947546466,62320.169016308
"Arkansas","311FT",52603,2551246625,48500.0213866129
"Arkansas","313TT",980,59371147,60582.8030612245
"Arkansas","315AL",1434,47235529,32939.6994421199
"Arkansas","321",10160,579413415,57028.8794291339
"Arkansas","322",8727,644619270,73864.9329666552
"Arkansas","323",2974,147144063,49476.8201075992
"Arkansas","324",1114,99426721,89251.9937163375
"Arkansas","325",5339,418516599,78388.5744521446
"Arkansas","326",10972,658010668,59971.8071454612
"Arkansas","327",3653,226370897,61968.4908294552
"Arkansas","331",8586,822615520,95808.9354763569
"Arkansas","332",15858,1016950754,64128.5631227141
"Arkansas","333",12476,743092175,59561.7325264508
"Arkansas","334",1532,96379112,62910.6475195822
"Arkansas","335",4634,296818584,64052.3487268019
"Arkansas","337",3316,160253974,48327.4951749095
"Arkansas","339",3346,158116026,47255.2378959952
"Arkansas","42",52464,4559274626,86902.9167810308
"Arkansas","441",19486,1132856949,58136.9675151391
"Arkansas","445",20985,627561481,29905.2409340005
"Arkansas","452",39995,1151414540,28788.962120265
"Arkansas","481",644,41094522,63811.3695652174
"Arkansas","483",29,2637682,90954.5517241379
"Arkansas","484",32729,2172654362,66383.1575055761
"Arkansas","485",1509,51001990,33798.535453943
"Arkansas","486",508,56425115,111073.061023622
"Arkansas","487OS",12760,691017060,54154.9420062696
"Arkansas","493",13626,607083761,44553.3363422868
"Arkansas","4A0",62656,2097906861,33482.9363668284
"Arkansas","512",1125,35455736,31516.2097777778
"Arkansas","513",3376,276491439,81899.1229265403
"Arkansas","514",4788,500092640,104447.084377611
"Arkansas","521CI",20190,1479371705,73272.4965329371
"Arkansas","523",3418,512858986,150046.514335869
"Arkansas","524",16965,1277359146,75293.7899204244
"Arkansas","525",86,8091800,94090.6976744186
"Arkansas","532RL",4082,228796725,56050.15311122
"Arkansas","55",38036,5520403832,145136.287517089
"Arkansas","561",64728,2744339020,42398.0197132617
"Arkansas","562",4682,297629935,63568.9737291756
"Arkansas","61",14447,617042653,42710.7809925936
"Arkansas","621",65723,4734793959,72041.6590691234
"Arkansas","622",46306,2957753686,63874.091607999
"Arkansas","623",28202,1039721413,36866.9389759592
"Arkansas","624",38783,1117105990,28804.0118092979
"Arkansas","711AS",3512,145715103,41490.6329726651
"Arkansas","713",10016,270202869,26977.1235023962
"Arkansas","721",11571,284643820,24599.7597441881
"Arkansas","722",102439,2162958545,21114.6003475239
"Arkansas","81",28024,1273836780,45455.2091064802
"Arkansas","GSLG",0,0,NA
"Arkansas","HS",11113,541068886,48687.9227931252
"California","111CA",181557,8623439959,47497.1494296557
"California","113FF",227725,9222907401,40500.1971720277
"California","211",3392,829248861,244471.951945755
"California","212",5815,581970568,100080.923129837
"California","213",8007,803200914,100312.340951667
"California","22",64332,10455047251,162517.05606852
"California","23",911333,78179343257,85785.7043001845
"California","311FT",237130,15009573553,63296.8142073968
"California","313TT",12696,746442221,58793.4956679269
"California","315AL",29632,1871533932,63159.2174676026
"California","321",26250,1653956062,63007.8499809524
"California","322",20079,1574389807,78409.7717515813
"California","323",30668,1860008721,60649.8213447241
"California","324",10756,1935553043,179951.008088509
"California","325",79915,10093326746,126300.778902584
"California","326",43469,3130105023,72007.7531804274
"California","327",31107,2412769288,77563.5480117015
"California","331",14724,1205350100,81862.9516435751
"California","332",120234,8817057033,73332.4769449573
"California","333",74871,8749275772,116858.006063763
"California","334",292770,72792345515,248633.212128975
"California","335",32963,3517946687,106724.10542123
"California","337",28777,1835674698,63789.6479132641
"California","339",88523,8711360860,98407.8811156423
"California","42",666335,67549070276,101374.038998402
"California","441",190762,14908208528,78150.8294524067
"California","445",378273,14921166456,39445.4969188919
"California","452",305120,12093683795,39635.8278546146
"California","481",56374,6426470520,113997.06460425
"California","482",25,2578356,103134.24
"California","483",4689,586025710,124978.824909362
"California","484",150687,9713093175,64458.7335005674
"California","485",45841,5187043750,113152.93623612
"California","486",1613,217454528,134813.718536888
"California","487OS",251016,18712049110,74545.2445660834
"California","493",246309,14680001352,59599.9389060083
"California","4A0",732175,34403987664,46988.7494984123
"California","512",131248,16366989148,124702.769931732
"California","513",57455,7929146837,138006.210721434
"California","514",148392,49370322196,332702.047253221
"California","521CI",208324,32495849416,155987.065417331
"California","523",102054,31797472177,311574.971848237
"California","524",192635,22356807548,116057.868756976
"California","525",4429,961402237,217069.820952811
"California","532RL",67166,5203086419,77466.0753804008
"California","55",242931,38785252747,159655.427866349
"California","561",1059957,66461875177,62702.4258314252
"California","562",59684,4961092074,83122.6471751223
"California","61",357057,23583290203,66049.0907698211
"California","621",980010,84176008642,85893.009910103
"California","622",420135,42641485593,101494.723346067
"California","623",312083,15557649306,49850.9989522018
"California","624",909206,26350957765,28982.3843716385
"California","711AS",111702,15861362434,141997.121215377
"California","713",220647,7573149337,34322.4668225718
"California","721",212362,10179142603,47932.9757819196
"California","722",1461552,45731419062,31289.62846481
"California","81",560023,29657647576,52957.9099001291
"California","GSLG",6614,512658662,77511.1372845479
"California","HS",236728,20685108203,87379.2208906424
"Colorado","111CA",15376,741037936,48194.4547346514
"Colorado","113FF",2821,130032465,46094.4576391351
"Colorado","211",6587,1685014241,255809.054349476
"Colorado","212",3998,436034722,109063.212106053
"Colorado","213",10999,1463223428,133032.405491408
"Colorado","22",9253,1224496159,132335.043661515
"Colorado","23",186710,14626085752,78335.8457072465
"Colorado","311FT",35251,2176264711,61736.2546027063
"Colorado","313TT",1250,57847389,46277.9112
"Colorado","315AL",645,28912368,44825.376744186
"Colorado","321",3763,242645053,64481.8105235185
"Colorado","322",1214,88978390,73293.5667215815
"Colorado","323",4279,252852672,59091.5335358729
"Colorado","324",779,107650930,138191.181001284
"Colorado","325",8684,729962748,84058.3542146476
"Colorado","326",5898,501140925,84967.9425228891
"Colorado","327",8255,603875214,73152.6606904906
"Colorado","331",2268,184035490,81144.3959435626
"Colorado","332",14844,1014973745,68376.0270142819
"Colorado","333",12059,1038136264,86088.0888962601
"Colorado","334",22956,2964527129,129139.533411744
"Colorado","335",2266,221139075,97590.059576346
"Colorado","337",5210,346326165,66473.3522072937
"Colorado","339",9766,797312617,81641.6769404055
"Colorado","42",117524,13075141130,111255.072410742
"Colorado","441",36409,2596885214,71325.3649921723
"Colorado","445",52693,2036626226,38650.7928187805
"Colorado","452",56036,1898023036,33871.4939681633
"Colorado","481",22339,2631992204,117820.502439679
"Colorado","484",19448,1329704163,68372.283165364
"Colorado","485",5469,289507582,52936.1093435729
"Colorado","486",1066,180524516,169347.575984991
"Colorado","487OS",31333,1672335131,53372.9655953787
"Colorado","493",24359,1423621287,58443.338683854
"Colorado","4A0",130495,5418037082,41519.1163033066
"Colorado","512",4740,211509691,44622.2976793249
"Colorado","513",24214,3163068129,130629.723672256
"Colorado","514",16605,2689510011,161969.889250226
"Colorado","521CI",43790,4711586720,107595.038136561
"Colorado","523",24139,4564766384,189103.375616223
"Colorado","524",43938,4615072164,105036.0090127
"Colorado","525",0,0,NA
"Colorado","532RL",12999,969560886,74587.3441033926
"Colorado","55",46323,7438385406,160576.504241953
"Colorado","561",148081,8753572145,59113.405129625
"Colorado","562",10391,760470746,73185.5207391011
"Colorado","61",41057,2223692206,54161.0981318655
"Colorado","621",152941,11495154994,75160.7155308256
"Colorado","622",61185,4904883240,80164.799215494
"Colorado","623",41798,1967227272,47065.1053160438
"Colorado","624",64469,2444162519,37912.2139167662
"Colorado","711AS",14094,1499348716,106382.05732936
"Colorado","713",47846,1570641680,32827.0216946035
"Colorado","721",46241,2015128995,43578.8368547393
"Colorado","722",243672,7463623301,30629.7945640041
"Colorado","81",89119,4923892749,55250.7630134988
"Colorado","GSLG",3165,215434258,68067.6960505529
"Colorado","HS",44350,3607793998,81348.2299436302
"Connecticut","111CA",4855,228538390,47072.7888774459
"Connecticut","113FF",271,11995613,44264.2546125461
"Connecticut","212",0,0,NA
"Connecticut","213",0,0,NA
"Connecticut","22",5034,758760542,150727.163686929
"Connecticut","23",61709,5195878786,84199.6918763876
"Connecticut","311FT",11865,611501541,51538.2672566372
"Connecticut","313TT",1391,92871247,66765.8138030194
"Connecticut","315AL",191,21089798,110417.790575916
"Connecticut","321",1155,69038596,59773.6761904762
"Connecticut","322",3000,240857043,80285.681
"Connecticut","323",4507,293370240,65092.1322387397
"Connecticut","324",271,25702348,94842.6125461255
"Connecticut","325",7990,1205967749,150934.636921151
"Connecticut","326",4985,355288141,71271.4425275828
"Connecticut","327",2370,178163110,75174.3080168776
"Connecticut","331",3511,291838408,83121.1643406437
"Connecticut","332",27418,2208845014,80561.8576847327
"Connecticut","333",13727,1359833732,99062.7035768923
"Connecticut","334",10361,916239915,88431.6103657948
"Connecticut","335",6837,675869872,98854.7421383648
"Connecticut","337",2537,159586942,62903.8005518329
"Connecticut","339",8895,724154944,81411.4608206858
"Connecticut","42",60761,7379636538,121453.506986389
"Connecticut","441",21135,1534462928,72602.9301159215
"Connecticut","445",41023,1424043579,34713.2969066134
"Connecticut","452",29276,922312575,31504.0502459352
"Connecticut","481",1239,153440811,123842.462469734
"Connecticut","482",0,0,NA
"Connecticut","483",1160,94121688,81139.3862068966
"Connecticut","484",8371,650247499,77678.5926412615
"Connecticut","485",12888,614398506,47672.1373370577
"Connecticut","486",167,28058607,168015.610778443
"Connecticut","487OS",16483,1038460240,63001.8952860523
"Connecticut","493",24315,1209083047,49725.8090479128
"Connecticut","4A0",75386,3484413773,46220.9663995967
"Connecticut","512",3984,530886184,133254.564257028
"Connecticut","513",6048,984111299,162716.815310847
"Connecticut","514",6774,980953334,144811.534396221
"Connecticut","521CI",20105,2701168317,134353.062273066
"Connecticut","523",22736,9594420402,421992.452586207
"Connecticut","524",53805,8506733963,158103.038063377
"Connecticut","525",0,0,NA
"Connecticut","532RL",4893,464345964,94900.0539546291
"Connecticut","55",31247,5479466470,175359.761577111
"Connecticut","561",82975,5247011615,63236.0544139801
"Connecticut","562",6222,483647672,77731.8662809386
"Connecticut","61",63148,5085966705,80540.4241622854
"Connecticut","621",96044,8127123978,84618.7578401566
"Connecticut","622",62710,5217516170,83200.7043533727
"Connecticut","623",55094,2694231399,48902.4467092605
"Connecticut","624",68583,2418273394,35260.5367802517
"Connecticut","711AS",6814,366366974,53766.799823892
"Connecticut","713",21004,703837300,33509.6791087412
"Connecticut","721",9529,362460438,38037.6154895582
"Connecticut","722",115911,3397696015,29312.9730137778
"Connecticut","81",54734,2658315119,48567.8941608507
"Connecticut","GSLG",4339,572631515,131973.153952524
"Connecticut","HS",14563,1265324321,86886.2405410973
"Delaware","111CA",1054,50358689,47778.6423149905
"Delaware","113FF",181,10608851,58612.4364640884
"Delaware","212",0,0,NA
"Delaware","213",0,0,NA
"Delaware","22",2092,270632995,129365.676386233
"Delaware","23",23927,1769856390,73969.0053078113
"Delaware","311FT",10834,551220208,50878.7343548089
"Delaware","313TT",58,3234127,55760.8103448276
"Delaware","315AL",0,0,NA
"Delaware","321",313,19360334,61854.1022364217
"Delaware","322",923,70621537,76513.0411700975
"Delaware","323",349,19998757,57303.0286532951
"Delaware","324",747,117164634,156846.899598394
"Delaware","325",3173,367344716,115772.050425465
"Delaware","326",1452,96217178,66265.2741046832
"Delaware","327",708,50546416,71393.2429378531
"Delaware","331",0,0,NA
"Delaware","332",1293,82571434,63860.351121423
"Delaware","333",722,51424492,71225.0581717452
"Delaware","334",2491,274513504,110202.129265355
"Delaware","335",1150,91353684,79437.9860869565
"Delaware","337",709,38083168,53713.9181946403
"Delaware","339",597,38125657,63862.0720268007
"Delaware","42",12587,1207955071,95968.4651624692
"Delaware","441",6412,425627954,66379.9054897068
"Delaware","445",10880,330387811,30366.5267463235
"Delaware","452",8906,276649405,31063.2612845273
"Delaware","481",254,29452298,115953.929133858
"Delaware","482",0,0,NA
"Delaware","483",58,3921882,67618.6551724138
"Delaware","484",2602,174997656,67255.0561106841
"Delaware","485",1871,61388136,32810.3345804383
"Delaware","486",0,0,NA
"Delaware","487OS",5489,308694271,56238.7085079249
"Delaware","493",12515,582170171,46517.792329205
"Delaware","4A0",25257,957133814,37895.7839014927
"Delaware","512",444,12992531,29262.4572072072
"Delaware","513",1374,136349706,99235.5938864629
"Delaware","514",697,78941743,113259.31563845
"Delaware","521CI",29073,3568681050,122748.978433598
"Delaware","523",8818,1235521214,140113.542073032
"Delaware","524",6345,628757783,99095.0012608353
"Delaware","525",0,0,NA
"Delaware","532RL",1257,80874671,64339.4359586317
"Delaware","55",7735,1253079475,162001.224951519
"Delaware","561",27942,1535801388,54963.9033712691
"Delaware","562",1563,114584127,73310.3819577735
"Delaware","61",4636,257582179,55561.2983175151
"Delaware","621",23821,1717135866,72084.9614205953
"Delaware","622",26160,2453451671,93786.3788608563
"Delaware","623",10686,494260489,46253.087123339
"Delaware","624",13545,431905199,31886.6887412329
"Delaware","711AS",1614,72154300,44705.2664188352
"Delaware","713",7599,205685620,27067.4588761679
"Delaware","721",4075,134914689,33107.8991411043
"Delaware","722",39219,990571480,25257.4384864479
"Delaware","81",12384,558111975,45067.1814437985
"Delaware","GSLG",0,0,NA
"Delaware","HS",4838,324541111,67081.6682513435
"District of Columbia","111CA",0,0,NA
"District of Columbia","113FF",0,0,NA
"District of Columbia","22",2123,309148287,145618.599623175
"District of Columbia","23",15076,1329648693,88196.3845184399
"District of Columbia","311FT",430,24372062,56679.2139534884
"District of Columbia","313TT",4,958566,239641.5
"District of Columbia","315AL",0,0,NA
"District of Columbia","322",0,0,NA
"District of Columbia","323",78,5331815,68356.6025641026
"District of Columbia","325",110,38729900,352090
"District of Columbia","326",0,0,NA
"District of Columbia","327",61,6047600,99140.9836065574
"District of Columbia","331",0,0,NA
"District of Columbia","332",53,8991365,169648.396226415
"District of Columbia","333",0,0,NA
"District of Columbia","334",100,25333933,253339.33
"District of Columbia","335",0,0,NA
"District of Columbia","337",0,0,NA
"District of Columbia","339",28,6285901,224496.464285714
"District of Columbia","42",5464,999994353,183015.071925329
"District of Columbia","441",157,6940107,44204.5031847134
"District of Columbia","445",8003,305528003,38176.6841184556
"District of Columbia","452",3395,145013684,42713.8980854197
"District of Columbia","481",80,17454291,218178.6375
"District of Columbia","483",0,0,NA
"District of Columbia","484",96,4450294,46357.2291666667
"District of Columbia","485",772,51320210,66476.9559585492
"District of Columbia","486",0,0,NA
"District of Columbia","487OS",1198,105421117,87997.5934891486
"District of Columbia","493",0,0,NA
"District of Columbia","4A0",8733,503198762,57620.3781060346
"District of Columbia","512",970,96476374,99460.1793814433
"District of Columbia","513",1590,340578935,214200.588050314
"District of Columbia","514",3189,654326319,205182.288805268
"District of Columbia","521CI",5416,1019144513,188172.91598966
"District of Columbia","523",4131,1316856318,318774.223674655
"District of Columbia","524",2942,576569692,195978.821210061
"District of Columbia","525",263,73785567,280553.486692015
"District of Columbia","532RL",725,51673903,71274.3489655172
"District of Columbia","55",3302,844532012,255763.78316172
"District of Columbia","561",47971,3331932232,69457.2185695524
"District of Columbia","562",416,26478051,63649.1610576923
"District of Columbia","61",45401,3495447369,76990.5369705513
"District of Columbia","621",18856,2069516134,109753.719452694
"District of Columbia","622",24333,2296495944,94377.8384909382
"District of Columbia","623",7607,410657857,53984.2062573945
"District of Columbia","624",17106,1003963669,58690.7324330644
"District of Columbia","711AS",6719,734830936,109366.116386367
"District of Columbia","713",2905,117915337,40590.4774526678
"District of Columbia","721",13517,892669694,66040.5189021233
"District of Columbia","722",52651,2044360569,38828.5230859813
"District of Columbia","81",69224,7833555533,113162.422469086
"District of Columbia","GSLG",137,10897970,79547.2262773723
"District of Columbia","HS",11757,1452979377,123584.194692524
"Florida","111CA",48276,2051408148,42493.3330847626
"Florida","113FF",14417,663541144,46024.9111465631
"Florida","211",71,7666662,107981.154929577
"Florida","212",3389,322388855,95128.0185895544
"Florida","213",671,58228884,86779.260804769
"Florida","22",25632,2872809769,112079.032810549
"Florida","23",628001,42016430305,66905.0372610872
"Florida","311FT",51285,3099158875,60430.1233304085
"Florida","313TT",4981,256624093,51520.5968680988
"Florida","315AL",4492,255123567,56795.0950578807
"Florida","321",15224,1001973454,65815.3871518655
"Florida","322",7956,663319914,83373.5437405731
"Florida","323",16411,987129697,60150.4903418439
"Florida","324",3595,301321517,83816.8336578581
"Florida","325",28064,2453854869,87437.8160276511
"Florida","326",14625,952824956,65150.4243418803
"Florida","327",24912,1833440077,73596.663334939
"Florida","331",5797,453185789,78175.9166810419
"Florida","332",45328,2905581058,64101.2411313096
"Florida","333",33146,2737236591,82581.2040970253
"Florida","334",46866,5322722784,113573.225451287
"Florida","335",11124,837303194,75269.9742898238
"Florida","337",13788,754154676,54696.4516971279
"Florida","339",36395,2757916973,75777.3587855475
"Florida","42",389479,38964106857,100041.611632463
"Florida","441",159972,11905773095,74424.1060623109
"Florida","445",260431,7965119176,30584.3742718801
"Florida","452",219277,6833155286,31162.2070987837
"Florida","481",58255,5671760684,97360.9249678139
"Florida","482",70,6277526,89678.9428571429
"Florida","483",18444,1981501323,107433.383376708
"Florida","484",68239,4208756448,61676.7017101657
"Florida","485",15366,713213738,46415.055186776
"Florida","486",478,54592967,114211.228033473
"Florida","487OS",140234,7939522674,56616.2462312991
"Florida","493",98186,4846120509,49356.5325912045
"Florida","4A0",504104,21877536198,43398.854597464
"Florida","512",16022,945900544,59037.6072899763
"Florida","513",47265,4461223971,94387.474262139
"Florida","514",35345,4809667839,136077.743358325
"Florida","521CI",181982,18649011581,102477.23170973
"Florida","523",61435,14183697834,230873.245446407
"Florida","524",209672,19899243320,94906.5364950971
"Florida","525",2688,549244124,204331.891369048
"Florida","532RL",49407,3547844652,71808.5423522983
"Florida","55",134256,18505295026,137835.888347634
"Florida","561",716218,38084118333,53173.919578955
"Florida","562",31957,2260145947,70724.597020997
"Florida","61",192654,9921421332,51498.6521536018
"Florida","621",590194,45221078687,76620.7021538681
"Florida","622",344226,25007931796,72649.7469569411
"Florida","623",182771,7752395047,42415.8922750327
"Florida","624",155038,5660993285,36513.5856048195
"Florida","711AS",52337,4999176711,95518.9772245257
"Florida","713",203141,7917699809,38976.3750744557
"Florida","721",183113,7960754107,43474.543626067
"Florida","722",854967,25081335266,29336.0273156742
"Florida","81",287912,14193406951,49297.7262184279
"Florida","GSLG",27373,1884412892,68842.0301757206
"Florida","HS",168181,11176368087,66454.4038089915
"Georgia","111CA",13257,573166953,43235.0420909708
"Georgia","113FF",9873,519703325,52638.8458421959
"Georgia","211",52,2844260,54697.3076923077
"Georgia","212",5227,452294313,86530.3832026019
"Georgia","213",538,35920904,66767.4795539034
"Georgia","22",20777,2460550720,118426.660249314
"Georgia","23",219381,16897462424,77023.3631171341
"Georgia","311FT",77942,4418793467,56693.3548920993
"Georgia","313TT",40521,2203462826,54378.2933787419
"Georgia","315AL",2314,127646965,55162.9062229905
"Georgia","321",21479,1405632263,65442.1650449276
"Georgia","322",21130,1839040198,87034.557406531
"Georgia","323",11523,672812508,58388.658161937
"Georgia","324",1493,122485249,82039.6845277964
"Georgia","325",23941,2059848859,86038.5472202498
"Georgia","326",25579,1587697375,62070.3457914696
"Georgia","327",15956,1139679768,71426.4081223364
"Georgia","331",8693,631870254,72687.2488208904
"Georgia","332",34477,2177195191,63149.2064564782
"Georgia","333",26705,1998670650,74842.5631904138
