State,Abbrev,Sector,Sector_Name,Employment,Total_Wages_M,Avg_Wage,Industry_Output_M,VA_M,Direct_VA_Coef,Direct_Wage_Coef,Type_I_Output,Type_II_Output,Type_I_VA,Type_II_VA,Type_I_Wage,Type_II_Wage,Emp_Coef,Indirect_Emp_Coef,Induced_Emp_Coef,Direct_Tax_Coef,Type_I_Tax,Type_II_Tax
Maine,ME,ONLINE,Online Gambling (iGaming & Sports Betting),7310,181.6285,24846.5822,647.44,340.0675,0.47268,0.12606,1.24089,1.938825,0.587345,1.004185,0.1723,0.32862,2.37608,2.35223,2.02232,0.052264,0.058838,0.094329
Maryland,MD,ONLINE,Online Gambling (iGaming & Sports Betting),34958,746.3926,21351.1247,3709.92,1948.6337,0.47268,0.12606,1.23375,1.82212,0.584795,0.93848,0.17142,0.31118,1.98301,2.01243,1.73864,0.052264,0.058516,0.086163
Massachusetts,MA,ONLINE,Online Gambling (iGaming & Sports Betting),44014,1060.8955,24103.5927,4968.19,2609.5394,0.47268,0.12606,1.243525,1.7429,0.590065,0.88527,0.1735,0.2923,1.8644,1.82075,1.73172,0.052264,0.058838,0.081599
Michigan,MI,ONLINE,Online Gambling (iGaming & Sports Betting),39576,788.7521,19930.062,3145.85,1652.3562,0.47268,0.12606,1.263925,1.91885,0.597715,0.98115,0.17542,0.32078,2.64753,2.15354,2.03421,0.052264,0.059674,0.091822
Minnesota,MN,ONLINE,Online Gambling (iGaming & Sports Betting),32589,632.0301,19393.9703,2532.81,1330.3572,0.47268,0.12606,1.268175,1.866745,0.59916,0.94851,0.17622,0.31486,2.70779,1.99739,1.9869,0.052264,0.059545,0.086421
Mississippi,MS,ONLINE,Online Gambling (iGaming & Sports Betting),8578,152.7589,17808.2195,688.61,361.6921,0.47268,0.12606,1.236045,1.83198,0.584115,0.94018,0.16966,0.3027,2.62156,2.60903,2.34821,0.052264,0.059095,0.090986
Missouri,MO,ONLINE,Online Gambling (iGaming & Sports Betting),29469,587.022,19919.9845,2337.95,1228.0071,0.47268,0.12606,1.25789,1.90117,0.59576,0.97469,0.17502,0.32646,2.65264,2.18024,2.20779,0.052264,0.059416,0.089636
Montana,MT,ONLINE,Online Gambling (iGaming & Sports Betting),10753,233.7162,21734.9795,828.57,435.206,0.47268,0.12606,1.24208,1.97682,0.587855,1.024415,0.17014,0.3327,2.73116,2.67138,2.4515,0.052264,0.059288,0.09748
Nebraska,NE,ONLINE,Online Gambling (iGaming & Sports Betting),10696,172.0284,16083.4308,676.41,355.284,0.47268,0.12606,1.26146,1.726665,0.596185,0.869885,0.17478,0.28118,3.3278,2.20013,2.16589,0.052264,0.059352,0.082241
Nevada,NV,ONLINE,Online Gambling (iGaming & Sports Betting),26227,648.2695,24717.6368,4338.21,2278.6427,0.47268,0.12606,1.234005,1.762705,0.586325,0.90771,0.17086,0.28934,1.27229,2.14215,1.86201,0.052264,0.059159,0.087771
New Hampshire,NH,ONLINE,Online Gambling (iGaming & Sports Betting),10671,227.8847,21355.5149,1880.12,987.5321,0.47268,0.12606,1.22015,1.864025,0.57825,0.96534,0.16878,0.32318,1.19444,2.10986,1.91312,0.052264,0.058066,0.089186
New Jersey,NJ,ONLINE,Online Gambling (iGaming & Sports Betting),55726,1243.1265,22307.8372,5174.91,2718.119,0.47268,0.12606,1.23698,1.83657,0.586155,0.946045,0.17134,0.31118,2.26621,1.81334,1.71476,0.052264,0.058388,0.087257
New Mexico,NM,ONLINE,Online Gambling (iGaming & Sports Betting),8287,179.6486,21678.365,730.97,383.9416,0.47268,0.12606,1.221765,1.721395,0.575785,0.874985,0.16654,0.27742,2.38586,2.59325,2.29857,0.052264,0.057874,0.084235
New York,NY,ONLINE,Online Gambling (iGaming & Sports Betting),96021,2791.175,29068.3808,9067.83,4762.8734,0.47268,0.12606,1.25143,1.739755,0.59236,0.879575,0.17446,0.29086,2.22847,1.60066,1.65356,0.052264,0.058516,0.080055
North Carolina,NC,ONLINE,Online Gambling (iGaming & Sports Betting),54060,979.937,18126.8407,3195.16,1678.2563,0.47268,0.12606,1.24718,1.833935,0.587855,0.934315,0.17278,0.3111,3.56065,2.27146,2.17465,0.052264,0.058324,0.085778
North Dakota,ND,ONLINE,Online Gambling (iGaming & Sports Betting),4504,74.9267,16635.5853,249.76,131.1863,0.47268,0.12606,1.21981,1.61744,0.573575,0.807665,0.16502,0.25814,3.79509,2.53154,2.29602,0.052264,0.057938,0.077034
Ohio,OH,ONLINE,Online Gambling (iGaming & Sports Betting),59866,1200.8973,20059.7559,7034.36,3694.7942,0.47268,0.12606,1.261205,1.78302,0.596015,0.900485,0.1751,0.29374,1.79103,2.02025,2.0073,0.052264,0.059352,0.084171
Oklahoma,OK,ONLINE,Online Gambling (iGaming & Sports Betting),13646,258.9624,18977.1677,1178.63,619.0748,0.47268,0.12606,1.24616,1.8041,0.58896,0.918335,0.17126,0.29718,2.43655,2.36159,2.30787,0.052264,0.059224,0.087514
Oregon,OR,ONLINE,Online Gambling (iGaming & Sports Betting),20307,413.881,20381.2001,1699.84,892.8401,0.47268,0.12606,1.25194,1.773245,0.592785,0.905585,0.17438,0.28966,2.51411,2.13808,1.95238,0.052264,0.058902,0.085778
Pennsylvania,PA,ONLINE,Online Gambling (iGaming & Sports Betting),73022,1577.3359,21600.8315,6122.94,3216.0713,0.47268,0.12606,1.252875,1.99467,0.59321,1.029005,0.1735,0.35342,2.50981,2.00486,2.04829,0.052264,0.059352,0.09195
Rhode Island,RI,ONLINE,Online Gambling (iGaming & Sports Betting),5577,140.1058,25122.0642,519.68,272.9617,0.47268,0.12606,1.222445,1.769675,0.57944,0.907965,0.16966,0.29814,2.25846,2.27169,2.02122,0.052264,0.058002,0.085328
South Carolina,SC,ONLINE,Online Gambling (iGaming & Sports Betting),26416,490.1356,18554.4984,1686.79,885.9856,0.47268,0.12606,1.217175,1.851275,0.575105,0.95871,0.16694,0.3135,3.29574,2.61087,2.23491,0.052264,0.057809,0.090343
South Dakota,SD,ONLINE,Online Gambling (iGaming & Sports Betting),4918,85.5193,17389.0303,352.44,185.1189,0.47268,0.12606,1.2278,1.696575,0.57859,0.854415,0.16894,0.27718,2.93664,2.71582,2.34618,0.052264,0.057874,0.08012
Tennessee,TN,ONLINE,Online Gambling (iGaming & Sports Betting),24519,490.1649,19991.2253,2139.03,1123.5245,0.47268,0.12606,1.236385,1.76755,0.584455,0.898615,0.17126,0.29358,2.41231,2.08904,1.95272,0.052264,0.058324,0.084106
Texas,TX,ONLINE,Online Gambling (iGaming & Sports Betting),106903,2434.8895,22776.6248,9001.07,4727.8077,0.47268,0.12606,1.284155,1.8976,0.6063,0.95905,0.17782,0.31286,2.49943,2.02018,2.07469,0.052264,0.060316,0.089764
Utah,UT,ONLINE,Online Gambling (iGaming & Sports Betting),18600,377.6531,20303.9279,1467.53,770.8194,0.47268,0.12606,1.25194,1.723775,0.593635,0.87269,0.1735,0.27774,2.66731,2.26688,2.20204,0.052264,0.059288,0.083849
Vermont,VT,ONLINE,Online Gambling (iGaming & Sports Betting),2998,62.144,20728.5,285.17,149.7854,0.47268,0.12606,1.23307,1.92344,0.584795,1.002145,0.16998,0.32702,2.21246,2.2048,1.90707,0.052264,0.059095,0.093815
Virginia,VA,ONLINE,Online Gambling (iGaming & Sports Betting),44208,826.984,18706.6603,2809.51,1475.6938,0.47268,0.12606,1.25925,1.873885,0.596015,0.960835,0.17606,0.3211,3.31142,1.90484,1.9078,0.052264,0.059224,0.088028
Washington,WA,ONLINE,Online Gambling (iGaming & Sports Betting),39268,906.1536,23076.1334,4084.73,2145.5025,0.47268,0.12606,1.263585,1.775455,0.596525,0.899125,0.17502,0.29134,2.02313,1.86286,1.53668,0.052264,0.058902,0.082756
West Virginia,WV,ONLINE,Online Gambling (iGaming & Sports Betting),7053,119.1385,16891.8915,508.32,266.9948,0.47268,0.12606,1.215135,1.76687,0.573915,0.906095,0.16534,0.29006,2.91999,2.38613,2.20508,0.052264,0.057938,0.085842
Wisconsin,WI,ONLINE,Online Gambling (iGaming & Sports Betting),31222,510.5885,16353.4851,2031.43,1067.0076,0.47268,0.12606,1.25653,1.7548,0.593975,0.88884,0.17446,0.2875,3.23449,2.21646,2.03663,0.052264,0.059224,0.083335
Wyoming,WY,ONLINE,Online Gambling (iGaming & Sports Betting),2682,57.9609,21611.0884,349.05,183.3383,0.47268,0.12606,1.22032,1.64906,0.57825,0.839965,0.16598,0.25942,1.61701,2.8716,2.04001,0.052264,0.058838,0.082113
